Date,Timestamp [ms],Requests generated,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Memory usage [%]
2013-08-13 01:35:47,1376337947,16,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,268435.2,0.39999961853027344
2013-08-13 01:40:48,1376338248,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,89478.4,0.1333332061767578
2013-08-13 01:45:48,1376338548,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-13 01:50:48,1376338848,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 01:55:48,1376339148,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-13 02:00:48,1376339448,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 02:05:48,1376339748,18,11703.99824,81.92798768,0.7,67108864.0,0.0,0.0
2013-08-13 02:10:48,1376340048,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 02:15:48,1376340348,17,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0
2013-08-13 02:20:48,1376340648,17,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0
2013-08-13 02:25:48,1376340948,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 02:30:48,1376341248,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
2013-08-13 02:35:48,1376341548,17,11703.99824,78.02665493333333,0.6666666666666667,67108864.0,0.0,0.0
2013-08-13 02:40:48,1376341848,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-13 02:45:48,1376342148,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 02:50:48,1376342448,16,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0
2013-08-13 02:55:48,1376342748,13,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0
2013-08-13 03:00:48,1376343048,13,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0
2013-08-13 03:05:48,1376343348,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 03:10:48,1376343648,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 03:15:48,1376343948,16,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0
2013-08-13 03:20:48,1376344248,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 03:25:48,1376344548,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 03:30:48,1376344848,16,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0
2013-08-13 03:35:48,1376345148,17,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0
2013-08-13 03:40:48,1376345448,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 03:45:48,1376345748,13,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0
2013-08-13 03:50:48,1376346048,17,11703.99824,78.02665493333333,0.6666666666666667,67108864.0,0.0,0.0
2013-08-13 03:55:48,1376346348,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 04:00:48,1376346648,13,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0
2013-08-13 04:05:48,1376346948,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-13 04:10:48,1376347248,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 04:15:48,1376347548,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
2013-08-13 04:20:48,1376347848,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
2013-08-13 04:25:48,1376348148,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
2013-08-13 04:30:48,1376348448,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 04:35:49,1376348749,16,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0
2013-08-13 04:40:49,1376349049,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-13 04:45:49,1376349349,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 04:50:49,1376349649,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 04:55:49,1376349949,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
2013-08-13 05:00:49,1376350249,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 05:05:49,1376350549,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-13 05:10:49,1376350849,17,11703.99824,79.97732130666667,0.6833333333333332,67108864.0,0.0,0.0
2013-08-13 05:15:49,1376351149,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 05:20:49,1376351449,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 05:25:49,1376351749,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-13 05:30:49,1376352049,14,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,134217.6,0.19999980926513672
2013-08-13 05:35:49,1376352349,16,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,178956.8,0.2666664123535156
2013-08-13 05:40:49,1376352649,16,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0
2013-08-13 05:45:49,1376352949,13,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0
2013-08-13 05:50:49,1376353249,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
2013-08-13 05:55:49,1376353549,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 06:00:49,1376353849,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
2013-08-13 06:05:49,1376354149,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-13 06:10:49,1376354449,16,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0
2013-08-13 06:15:49,1376354749,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 06:20:49,1376355049,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
